date,cryptotype,close_percentage,open_percentage
2020-02-14,Doge,-99.12082858448154,-99.14145935495037
2020-02-13,Doge,-99.13189986018634,-99.1110585359979
2020-02-12,Doge,-99.10777021095947,-99.1110585359979
2020-02-11,Doge,-99.1054991664876,-99.17467501721272
2020-02-10,Doge,-99.17476549411495,-99.11387344484697
2020-02-09,Doge,-99.1216802261585,-99.00718918593722
2020-02-08,Doge,-99.01636133192257,-99.21126857009396
2020-02-07,Doge,-99.20712761345675,-99.25321038424929
2020-02-06,Doge,-99.24034144057109,-99.26334399056677
2020-02-05,Doge,-99.25680638080098,-99.27432200399979
2020-02-04,Doge,-99.27043251544102,-99.30669325914661
2020-02-03,Doge,-99.30080753696552,-99.30866362980176
2020-02-02,Doge,-99.29654932858077,-99.31907872700417
2020-02-01,Doge,-99.31329814936963,-99.32414556293251
2020-01-31,Doge,-99.31784023831337,-99.31654530904
2020-01-30,Doge,-99.31102710489776,-99.30810064803195
2020-01-29,Doge,-99.30932388763945,-99.31738978169471
2020-01-28,Doge,-99.29484604522686,-99.32780487889713
2020-01-27,Doge,-99.32181450004356,-99.35285737103634
2020-01-26,Doge,-99.34764743262431,-99.36665035885764
2020-01-25,Doge,-99.36127363335996,-99.36608737708782
2020-01-24,Doge,-99.36013811112402,-99.36130203204438
2020-01-23,Doge,-99.35587990273926,-99.33146426040092
2020-01-22,Doge,-99.32493718619239,-99.32780487889713
2020-01-21,Doge,-99.32209838060254,-99.30556729560698
2020-01-20,Doge,-99.29938813417061,-99.31907872700417
2020-01-19,Doge,-99.31329814936963,-99.29177430778567
2020-01-18,Doge,-99.29825261193467,-99.30162642321825
2020-01-17,Doge,-99.29484604522686,-99.33850146698443
2020-01-16,Doge,-99.33288577574834,-99.35144991661178
2020-01-15,Doge,-99.34282152921719,-99.33596804902025
2020-01-14,Doge,-99.33061473127647,-99.3725616019015
2020-01-13,Doge,-99.36837058123896,-99.38016179025482
2020-01-12,Doge,-99.37291260408712,-99.37762837229064
2020-01-11,Doge,-99.37234484296916,-99.37396905632603
2020-01-10,Doge,-99.37575140967695,-99.4038068279695
2020-01-09,Doge,-99.39363575270175,-99.39874005758035
2020-01-08,Doge,-99.39391963326074,-99.379598808485
